,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
120,1.4214518,112.28,5.02052521972324,5.02052521972324,"([1.0, 1.4214518, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1009.58746
121,1.4417238,116.32,5.078567515486441,5.078567515486441,"([1.0, 1.4417238, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1070.7382
122,1.4630627,120.56,5.14055246413129,5.14055246413129,"([1.0, 1.4630627, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1138.4133
123,1.4844016,124.06,5.20344811008256,5.20344811008256,"([1.0, 1.4844016, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1209.6154
124,1.5057405,128.85,5.26725445334025,5.26725445334025,"([1.0, 1.5057405, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1284.486
125,1.5260125,132.02,5.32871415015625,5.32871415015625,"([1.0, 1.5260125, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1359.1449
126,1.5473514,136.17,5.394296355081959,5.394296355081959,"([1.0, 1.5473514, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1441.5929
127,1.5686903,140.12,5.46078925731409,5.46078925731409,"([1.0, 1.5686903, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1528.1525
128,1.5900292,144.22,5.52819285685264,5.52819285685264,"([1.0, 1.5900292, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1618.9813
129,1.6103012,147.6,5.59306995472144,5.59306995472144,"([1.0, 1.6103012, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1709.37
130,1.6316401,152.14,5.66224941592801,5.66224941592801,"([1.0, 1.6316401, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1808.9927
131,1.652979,155.4,5.732339574440999,5.732339574440999,"([1.0, 1.652979, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1913.3743
132,1.674318,159.35,5.803340765124,5.803340765124,"([1.0, 1.674318, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2022.6909
133,1.6945899,163.0,5.87163492918201,5.87163492918201,"([1.0, 1.6945899, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2131.2737
134,1.7159288,167.05,5.94441164666944,5.94441164666944,"([1.0, 1.7159288, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2250.7297
135,1.7372677,171.06,6.018099061463291,6.018099061463291,"([1.0, 1.7372677, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2375.6602
136,1.7586067,174.72,6.0926975252848905,6.0926975252848905,"([1.0, 1.7586067, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2506.2593
137,1.7788786,178.65,6.164409073537961,6.164409073537961,"([1.0, 1.7788786, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2635.7556
138,1.8002175,182.66,6.24078304730625,6.24078304730625,"([1.0, 1.8002175, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2777.9753
139,1.8215564,186.39,6.318067718380959,6.318067718380959,"([1.0, 1.8215564, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2926.4565
140,1.8428954,190.67,6.39626345534116,6.39626345534116,"([1.0, 1.8428954, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3081.4111
141,1.8631673,194.16,6.47139238778929,6.47139238778929,"([1.0, 1.8631673, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3234.8079
142,1.8845062,198.65,6.55136361783844,6.55136361783844,"([1.0, 1.8845062, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3403.0078
143,1.9058451,202.78,6.63224554519401,6.63224554519401,"([1.0, 1.9058451, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3578.3306
144,1.9271841,207.08,6.71403855529281,6.71403855529281,"([1.0, 1.9271841, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3761.007
145,1.947456,210.57,6.7925848719360005,6.7925848719360005,"([1.0, 1.947456, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3941.5737
146,1.9687949,215.11,6.87615335826601,6.87615335826601,"([1.0, 1.9687949, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,4139.2695
147,1.9901338,219.54,6.96063254190244,6.96063254190244,"([1.0, 1.9901338, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,4345.0264
148,2.0114728,223.91,7.04602282513984,7.04602282513984,"([1.0, 2.0114728, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,4559.097
149,2.0328117,228.1,7.132323407656889,7.132323407656889,"([1.0, 2.0328117, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,4781.7354
